Date/Time,0cm EAG Soil Moisture [%] ,-10cm EAG Soil Moisture [%],-20cm EAG Soil Moisture [%],-30cm EAG Soil Moisture [%],-40cm EAG Soil Moisture [%],-50cm EAG Soil Moisture [%]
2019-05-29 05:00:00,5.11,46.14,48.52,49.62,49.7,50.48
2019-05-29 06:00:00,5.12,46.07,48.51,49.61,49.69,50.48
2019-05-29 07:00:00,5.11,46.02,48.49,49.59,49.67,50.48
2019-05-29 08:00:00,5.12,46.03,48.48,49.58,49.67,50.48
2019-05-29 09:00:00,4.9,46.05,48.47,49.57,49.67,50.48
2019-05-29 10:00:00,4.64,46.14,48.46,49.53,49.67,50.48
2019-05-29 11:00:00,4.58,46.18,48.46,49.53,49.66,50.48
2019-05-29 12:00:00,5.62,46.72,48.48,49.54,49.65,50.47
2019-05-29 13:00:00,6.11,47.67,48.49,49.53,49.64,50.46
2019-05-29 14:00:00,4.98,47.38,48.51,49.54,49.61,50.46
2019-05-29 15:00:00,5.1,47.27,48.57,49.58,49.63,50.45
2019-05-29 16:00:00,6.52,48,48.65,49.64,49.63,50.45
2019-05-29 17:00:00,5.8,47.88,48.72,49.71,49.63,50.47
2019-05-29 18:00:00,4.99,47.67,48.76,49.75,49.64,50.47
2019-05-29 19:00:00,4.76,47.34,48.79,49.78,49.65,50.47
2019-05-29 20:00:00,4.69,47.19,48.8,49.82,49.67,50.46
2019-05-29 21:00:00,4.67,47.02,48.8,49.84,49.67,50.48
2019-05-29 22:00:00,4.65,46.86,48.8,49.86,49.69,50.49
2019-05-29 23:00:00,4.66,46.73,48.79,49.85,49.68,50.48
2019-05-30 00:00:00,4.67,46.59,48.76,49.84,49.68,50.49
2019-05-30 01:00:00,4.67,46.43,48.73,49.83,49.68,50.51
2019-05-30 02:00:00,4.66,46.31,48.7,49.8,49.68,50.52
2019-05-30 03:00:00,4.66,46.21,48.65,49.77,49.68,50.52
2019-05-30 04:00:00,4.65,46.13,48.61,49.75,49.69,50.52
2019-05-30 05:00:00,4.65,46.08,48.59,49.72,49.68,50.52
2019-05-30 06:00:00,4.64,46.05,48.56,49.69,49.66,50.53
2019-05-30 07:00:00,4.63,46,48.54,49.67,49.68,50.52
2019-05-30 08:00:00,4.62,45.98,48.51,49.66,49.67,50.53
2019-05-30 09:00:00,4.61,45.63,48.49,49.62,49.65,50.52
2019-05-30 10:00:00,4.61,45.63,48.49,49.62,49.65,50.5
2019-05-30 11:00:00,4.61,45.66,48.47,49.59,49.65,50.5
2019-05-30 12:00:00,4.58,45.66,48.45,49.56,49.63,50.49
2019-05-30 13:00:00,4.56,45.65,48.46,49.56,49.61,50.5
2019-05-30 14:00:00,4.5,45.75,48.48,49.54,49.62,50.5
2019-05-30 15:00:00,4.44,45.71,48.51,49.54,49.62,50.49
2019-05-30 16:00:00,4.39,45.59,48.55,49.55,49.62,50.49
2019-05-30 17:00:00,4.35,45.5,48.58,49.57,49.62,50.48
2019-05-30 18:00:00,4.31,45.41,48.6,49.58,49.61,50.48
2019-05-30 19:00:00,4.28,45.29,48.6,49.59,49.62,50.47
2019-05-30 20:00:00,4.25,45.17,48.61,49.62,49.63,50.46
2019-05-30 21:00:00,4.23,45.04,48.61,49.62,49.62,50.46
2019-05-30 22:00:00,4.23,44.91,48.62,49.62,49.62,50.46
2019-05-30 23:00:00,4.24,44.79,48.6,49.63,49.62,50.46
2019-05-31 00:00:00,4.26,44.68,48.58,49.64,49.63,50.47
2019-05-31 01:00:00,4.27,44.58,48.56,49.63,49.64,50.47
2019-05-31 02:00:00,4.29,44.49,48.54,49.65,49.64,50.47
2019-05-31 03:00:00,4.3,44.26,48.51,49.64,49.65,50.47
2019-05-31 04:00:00,4.32,44.05,48.48,49.62,49.65,50.47
2019-05-31 05:00:00,4.33,43.95,48.45,49.61,49.65,50.47
2019-05-31 06:00:00,4.36,43.87,48.42,49.61,49.65,50.47
2019-05-31 07:00:00,4.39,43.8,48.39,49.59,49.64,50.47
2019-05-31 08:00:00,4.3,43.8,48.37,49.58,49.65,50.47
2019-05-31 09:00:00,4.29,43.92,48.33,49.54,49.66,50.47
2019-05-31 10:00:00,4.3,44.06,48.3,49.54,49.65,50.46
2019-05-31 11:00:00,4.24,44.19,48.28,49.51,49.63,50.47
2019-05-31 12:00:00,4.19,44.27,48.28,49.48,49.61,50.46
2019-05-31 13:00:00,3.99,44.39,48.25,49.48,49.61,50.45
2019-05-31 14:00:00,3.79,44.45,48.01,49.49,49.62,50.44
2019-05-31 15:00:00,3.61,44.46,47.92,49.47,49.61,50.43
2019-05-31 16:00:00,3.48,44.48,47.84,49.48,49.6,50.43
2019-05-31 17:00:00,3.41,44.43,47.83,49.49,49.59,50.43
2019-05-31 18:00:00,3.34,44.36,47.41,49.52,49.59,50.44
2019-05-31 19:00:00,3.25,44.28,47.33,49.53,49.6,50.43
2019-05-31 20:00:00,3.21,44.16,47.29,49.56,49.59,50.42
2019-05-31 21:00:00,3.19,44.01,47.28,49.58,49.59,50.42
2019-05-31 22:00:00,3.17,43.85,47.25,49.6,49.59,50.42
2019-05-31 23:00:00,3.16,43.69,47.23,49.61,49.61,50.42
2019-06-01 00:00:00,3.15,43.54,47.18,49.63,49.62,50.43
2019-06-01 01:00:00,3.15,43.4,47.15,49.63,49.63,50.42
2019-06-01 02:00:00,3.15,43.3,47.09,49.63,49.63,50.41
2019-06-01 03:00:00,3.16,43.18,47.04,49.62,49.63,50.42
2019-06-01 04:00:00,3.16,43.08,46.99,49.64,49.63,50.42
2019-06-01 05:00:00,3.18,42.98,46.94,49.61,49.63,50.43
2019-06-01 06:00:00,3.21,42.9,46.86,49.59,49.64,50.43
2019-06-01 07:00:00,3.22,42.83,46.81,49.58,49.64,50.43
2019-06-01 08:00:00,3.25,42.83,46.77,49.55,49.64,50.43
2019-06-01 09:00:00,3.3,42.92,46.75,49.56,49.66,50.44
2019-06-01 10:00:00,3.34,43.07,46.7,49.53,49.67,50.45
2019-06-01 11:00:00,3.36,43.22,46.63,49.51,49.66,50.45
2019-06-01 12:00:00,3.25,43.42,46.61,49.5,49.64,50.45
2019-06-01 13:00:00,3.12,43.58,46.63,49.49,49.63,50.44
2019-06-01 14:00:00,3.04,43.65,46.65,49.48,49.63,50.44
2019-06-01 15:00:00,2.94,43.68,46.67,49.49,49.63,50.43
2019-06-01 16:00:00,2.86,43.67,46.71,49.49,49.62,50.44
2019-06-01 17:00:00,2.78,43.64,46.75,49.52,49.61,50.44
2019-06-01 18:00:00,2.69,43.58,46.76,49.53,49.61,50.43
2019-06-01 19:00:00,2.62,43.48,46.8,49.52,49.6,50.42
2019-06-01 20:00:00,2.57,43.39,46.8,49.55,49.6,50.44
2019-06-01 21:00:00,2.56,43.26,46.81,49.57,49.61,50.43
2019-06-01 22:00:00,2.54,43.08,46.8,49.59,49.63,50.43
2019-06-01 23:00:00,2.53,42.89,46.77,49.6,49.64,50.42
2019-06-02 00:00:00,2.51,42.71,46.74,49.61,49.63,50.42
2019-06-02 01:00:00,2.51,42.56,46.68,49.63,49.65,50.43
2019-06-02 02:00:00,2.51,42.41,46.64,49.63,49.66,50.43
2019-06-02 03:00:00,2.51,42.28,46.59,49.62,49.67,50.44
2019-06-02 04:00:00,2.51,42.16,46.56,49.61,49.68,50.45
2019-06-02 05:00:00,2.51,42.05,46.52,49.61,49.68,50.46
2019-06-02 06:00:00,2.52,41.94,46.47,49.6,49.68,50.46
2019-06-02 07:00:00,2.55,41.87,46.39,49.55,49.69,50.47
2019-06-02 08:00:00,2.6,41.85,46.35,49.54,49.69,50.47
2019-06-02 09:00:00,2.63,41.92,46.28,49.52,49.69,50.47
2019-06-02 10:00:00,2.68,41.99,46.23,49.48,49.7,50.45
2019-06-02 11:00:00,2.7,42.13,46.19,49.46,49.68,50.46
2019-06-02 12:00:00,2.67,42.34,46.16,49.43,49.65,50.45
2019-06-02 13:00:00,2.54,42.56,46.16,47.29,49.63,50.45
2019-06-02 14:00:00,2.41,42.63,46.19,46.9,49.61,50.45
2019-06-02 15:00:00,2.29,42.58,46.2,46.85,49.61,50.46
2019-06-02 16:00:00,2.25,42.38,46.2,46.85,49.61,50.45
2019-06-02 17:00:00,2.2,42.16,46.23,46.81,49.6,50.44
2019-06-02 18:00:00,2.12,41.92,46.28,46.81,49.61,50.44
2019-06-02 19:00:00,2.06,41.69,46.31,46.83,49.63,50.44
2019-06-02 20:00:00,2.03,41.41,46.34,46.85,49.62,50.44
2019-06-02 21:00:00,2,41.13,46.36,46.86,49.62,50.44
2019-06-02 22:00:00,1.98,40.84,46.35,46.88,49.65,50.44
2019-06-02 23:00:00,1.98,40.54,46.32,46.9,49.65,50.44
2019-06-03 00:00:00,1.97,40.27,46.29,46.9,49.66,50.45
2019-06-03 01:00:00,1.98,40.03,46.25,46.89,49.67,50.45
2019-06-03 02:00:00,1.98,39.84,46.24,46.88,49.68,50.47
2019-06-03 03:00:00,1.99,39.64,46.16,46.87,49.7,50.46
2019-06-03 04:00:00,1.99,39.46,46.11,46.87,49.72,50.47
2019-06-03 05:00:00,2,39.28,46.06,46.86,49.73,50.47
2019-06-03 06:00:00,2.01,39.15,46.01,46.83,49.74,50.49
2019-06-03 07:00:00,2.03,39.03,45.96,46.81,49.73,50.5
2019-06-03 08:00:00,2.07,38.97,45.91,46.76,49.74,50.5
2019-06-03 09:00:00,2.1,38.97,45.84,46.73,49.74,50.49
2019-06-03 10:00:00,2.11,39.03,45.79,46.7,49.71,50.5
2019-06-03 11:00:00,2.15,39.03,45.73,46.65,49.71,50.49
2019-06-03 12:00:00,2.14,39.1,45.57,46.63,49.62,50.49
2019-06-03 13:00:00,2.06,39.2,45.51,46.6,49.42,50.49
2019-06-03 14:00:00,1.98,39.12,45.48,46.57,49.36,50.49
2019-06-03 15:00:00,1.9,38.9,45.44,46.56,49.32,50.49
2019-06-03 16:00:00,1.84,38.57,45.41,46.57,49.29,50.48
2019-06-03 17:00:00,1.79,38.12,45.36,46.56,49.28,50.48
2019-06-03 18:00:00,1.73,37.62,45.32,46.42,49.24,50.48
2019-06-03 19:00:00,1.65,37.16,45.28,46.43,49.24,50.48
2019-06-03 20:00:00,1.61,36.73,45.24,46.46,49.19,50.48
2019-06-03 21:00:00,1.6,36.36,45.21,46.48,49.18,50.49
2019-06-03 22:00:00,1.59,36.02,45.15,46.49,49.21,50.5
2019-06-03 23:00:00,1.59,35.7,45.09,46.51,49.21,50.51
2019-06-04 00:00:00,1.59,35.42,45.01,46.53,49.22,50.51
2019-06-04 01:00:00,1.59,35.16,44.93,46.52,49.22,50.52
2019-06-04 02:00:00,1.59,34.91,44.85,46.51,49.21,50.52
2019-06-04 03:00:00,1.59,34.7,44.76,46.49,49.22,50.54
2019-06-04 04:00:00,1.6,34.5,44.67,46.48,49.22,50.55
2019-06-04 05:00:00,1.6,34.32,44.59,46.45,49.22,50.56
2019-06-04 06:00:00,1.61,34.15,44.5,46.44,49.21,50.55
