Date/Time,0cm EAG Soil Moisture [%] ,-10cm EAG Soil Moisture [%],-20cm EAG Soil Moisture [%],-30cm EAG Soil Moisture [%],-40cm EAG Soil Moisture [%],-50cm EAG Soil Moisture [%]
2019-07-01 15:00:00,0.06,5.12,6.75,11.46,9.39,19.08
2019-07-01 16:00:00,0.06,5.09,6.81,11.48,9.4,19.07
2019-07-01 17:00:00,0.06,5.07,6.86,11.52,9.4,19.06
2019-07-01 18:00:00,0.06,5.04,6.88,11.53,9.47,19.06
2019-07-01 19:00:00,0.07,4.99,6.9,11.56,9.38,19.05
2019-07-01 20:00:00,0.07,4.96,6.89,11.6,9.4,19.07
2019-07-01 21:00:00,0.07,4.94,6.87,11.62,9.42,19.08
2019-07-01 22:00:00,0.07,4.9,6.84,11.62,9.43,19.09
2019-07-01 23:00:00,0.07,4.9,6.8,11.63,9.46,19.1
2019-07-02 00:00:00,0.07,4.89,6.76,11.61,9.46,19.12
2019-07-02 01:00:00,0.07,4.85,6.72,11.59,9.47,19.13
2019-07-02 02:00:00,0.07,4.82,6.68,11.56,9.46,19.15
2019-07-02 03:00:00,0.07,4.77,6.64,11.54,9.48,19.15
2019-07-02 04:00:00,0.07,4.77,6.61,11.52,9.48,19.16
2019-07-02 05:00:00,0.07,4.73,6.57,11.48,9.48,19.16
2019-07-02 06:00:00,0.08,4.7,6.54,11.44,9.46,19.15
2019-07-02 07:00:00,0.08,4.69,6.51,11.41,9.45,19.15
2019-07-02 08:00:00,0.09,4.71,6.46,11.38,9.44,19.13
2019-07-02 09:00:00,0.1,4.77,6.41,11.36,9.43,19.11
2019-07-02 10:00:00,0.1,4.86,6.4,11.33,9.41,19.1
2019-07-02 11:00:00,0.09,4.94,6.43,11.32,9.41,19.09
2019-07-02 12:00:00,0.08,4.99,6.46,11.32,9.4,19.09
2019-07-02 13:00:00,0.07,5.01,6.51,11.32,9.4,19.07
2019-07-02 14:00:00,0.06,5,6.58,11.33,9.38,19.05
2019-07-02 15:00:00,0.06,4.99,6.63,11.36,9.37,19.03
2019-07-02 16:00:00,0.05,4.98,6.68,11.38,9.37,19.02
2019-07-02 17:00:00,0.05,4.97,6.72,11.42,9.36,19.04
2019-07-02 18:00:00,0.06,4.92,6.76,11.45,9.36,19.03
2019-07-02 19:00:00,0.06,4.89,6.77,11.48,9.37,19
2019-07-02 20:00:00,0.06,4.85,6.73,11.5,9.38,19.01
2019-07-02 21:00:00,0.07,4.84,6.7,11.52,9.39,18.98
2019-07-02 22:00:00,0.07,4.84,6.67,11.54,9.41,18.99
2019-07-02 23:00:00,0.07,4.83,6.63,11.53,9.44,19
2019-07-03 00:00:00,0.07,4.81,6.59,11.52,9.41,19
2019-07-03 01:00:00,0.07,4.79,6.56,11.48,9.41,19.02
2019-07-03 02:00:00,0.08,4.76,6.52,11.44,9.41,19.03
2019-07-03 03:00:00,0.08,4.73,6.49,11.43,9.41,19.04
2019-07-03 04:00:00,0.08,4.71,6.47,11.4,9.41,19.04
2019-07-03 05:00:00,0.08,4.69,6.44,11.39,9.41,19.04
2019-07-03 06:00:00,0.08,4.67,6.41,11.36,9.41,19.04
2019-07-03 07:00:00,0.08,4.67,6.39,11.33,9.4,19.04
2019-07-03 08:00:00,0.1,4.69,6.37,11.31,9.39,19.02
2019-07-03 09:00:00,0.1,4.75,6.36,11.29,9.38,19.04
2019-07-03 10:00:00,0.1,4.83,6.36,11.27,9.37,19.04
2019-07-03 11:00:00,0.09,4.9,6.38,11.26,9.37,19.04
2019-07-03 12:00:00,0.08,4.94,6.41,11.26,9.35,19.02
2019-07-03 13:00:00,0.08,4.97,6.46,11.26,9.33,19
2019-07-03 14:00:00,0.07,4.98,6.52,11.28,9.32,18.98
2019-07-03 15:00:00,0.06,4.97,6.57,11.31,9.31,18.97
2019-07-03 16:00:00,0.06,4.94,6.63,11.34,9.31,18.96
2019-07-03 17:00:00,0.05,4.89,6.68,11.35,9.31,18.96
2019-07-03 18:00:00,0.06,4.84,6.69,11.39,9.31,18.96
2019-07-03 19:00:00,0.06,4.81,6.7,11.41,9.32,18.95
2019-07-03 20:00:00,0.06,4.78,6.68,11.43,9.33,18.96
2019-07-03 21:00:00,0.06,4.75,6.66,11.45,9.34,19
2019-07-03 22:00:00,0.06,4.72,6.62,11.45,9.36,19
2019-07-03 23:00:00,0.07,4.73,6.57,11.42,9.38,19.01
2019-07-04 00:00:00,0.07,4.71,6.53,11.4,9.38,19
2019-07-04 01:00:00,0.07,4.7,6.5,11.37,9.38,19.01
2019-07-04 02:00:00,0.07,4.68,6.47,11.35,9.38,19.02
2019-07-04 03:00:00,0.07,4.66,6.44,11.32,9.4,19.01
2019-07-04 04:00:00,0.08,4.63,6.44,11.31,9.4,19.02
2019-07-04 05:00:00,0.08,4.61,6.38,11.29,9.43,19.02
2019-07-04 06:00:00,0.08,4.58,6.36,11.26,9.44,19.02
2019-07-04 07:00:00,0.08,4.58,6.34,11.25,9.44,19.02
2019-07-04 08:00:00,0.09,4.62,6.31,11.23,9.44,19.01
2019-07-04 09:00:00,0.1,4.68,6.3,11.2,9.44,19.01
2019-07-04 10:00:00,0.1,4.75,6.31,11.19,9.41,19
2019-07-04 11:00:00,0.09,4.82,6.32,11.19,9.4,19.02
2019-07-04 12:00:00,0.08,4.86,6.35,11.19,9.4,19.01
2019-07-04 13:00:00,0.07,4.89,6.39,11.2,9.41,18.97
2019-07-04 14:00:00,0.07,4.9,6.44,11.21,9.39,18.98
2019-07-04 15:00:00,0.07,4.89,6.48,11.23,9.37,18.96
2019-07-04 16:00:00,0.07,4.86,6.53,11.28,9.38,18.96
2019-07-04 17:00:00,0.07,4.84,6.56,11.3,9.38,18.96
2019-07-04 18:00:00,0.07,4.85,6.57,11.32,9.38,18.96
2019-07-04 19:00:00,0.07,4.84,6.59,11.34,9.39,18.96
2019-07-04 20:00:00,0.07,4.78,6.6,11.36,9.4,18.97
2019-07-04 21:00:00,0.07,4.75,6.58,11.37,9.41,18.98
2019-07-04 22:00:00,0.08,4.73,6.55,11.38,9.43,19
2019-07-04 23:00:00,0.08,4.73,6.52,11.38,9.45,19.01
2019-07-05 00:00:00,0.08,4.73,6.49,11.37,9.45,19.01
2019-07-05 01:00:00,0.08,4.7,6.45,11.35,9.45,19.02
2019-07-05 02:00:00,0.08,4.68,6.43,11.33,9.44,19.02
2019-07-05 03:00:00,0.08,4.66,6.4,11.31,9.45,19.03
2019-07-05 04:00:00,0.08,4.64,6.38,11.29,9.45,19.04
2019-07-05 05:00:00,0.08,4.62,6.35,11.27,9.45,19.05
2019-07-05 06:00:00,0.09,4.6,6.33,11.24,9.44,19.05
2019-07-05 07:00:00,0.09,4.6,6.31,11.22,9.42,19.04
