soilType,plotCluster ,wine,flavorType,sensoryFlavor,judgeNumber,ratioFlavorJudge
sandySiltyClay,85,2017_RUN ST2_05_R,taste,bitterness,1,NaN
sandySiltyClay,85,2017_RUN ST2_06_R,taste,bitterness,1,NaN
sandySiltyClay,85,2017_RUN ST2_09_R,taste,bitterness,1,1.00
sandySiltyClay,85,2017_RUN ST2_05_R,taste,reduced,1,1.00
sandySiltyClay,85,2017_RUN ST2_06_R,taste,reduced,1,NaN
sandySiltyClay,85,2017_RUN ST2_09_R,taste,reduced,1,NaN
sandySiltyClay,85,2017_RUN ST2_05_R,taste,pressWine,1,NaN
sandySiltyClay,85,2017_RUN ST2_06_R,taste,pressWine,1,NaN
sandySiltyClay,85,2017_RUN ST2_09_R,taste,pressWine,1,1.00
sandySiltyClay,85,2017_RUN ST2_05_R,taste,metalic,1,1.00
sandySiltyClay,85,2017_RUN ST2_06_R,taste,metalic,1,NaN
sandySiltyClay,85,2017_RUN ST2_09_R,taste,metalic,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,visual,purplish,6,0.33
sandySiltyClay,85,2017_RUN ST2_11_R,visual,purplish,6,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,visual,purplish,6,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,visual,redWithOrangeFringes,6,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,visual,redWithOrangeFringes,6,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,visual,redWithOrangeFringes,6,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,visual,pureRed (cherry),3,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,visual,pureRed (cherry),3,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,visual,pureRed (cherry),3,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,visual,dark,3,0.67
sandySiltyClay,85,2017_RUN ST2_11_R,visual,dark,3,0.33
sandySiltyClay,85,2017_RUN_ST2_22_R,visual,dark,3,0.67
sandySiltyClay,85,2017_RUN ST3_10_R,visual,clear,2,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,visual,clear,2,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,visual,clear,2,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,visual,brownRed,1,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,visual,brownRed,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,visual,brownRed,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,visual,turbid,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,visual,turbid,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,visual,turbid,1,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,vegetal,7,0.29
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,vegetal,7,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,vegetal,7,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,pepper,6,0.17
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,pepper,6,0.83
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,pepper,6,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,fruity,4,0.50
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,fruity,4,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,fruity,4,0.50
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,empyreumatic,4,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,empyreumatic,4,0.50
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,empyreumatic,4,0.50
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,cookedFruits,4,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,cookedFruits,4,0.75
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,cookedFruits,4,0.25
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,flowery,1,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,flowery,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,flowery,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,sweet,1,1.00
