"varietyCode","varietyName","mainSynonym","typeCode","speciesCode","varUnit","qualifyingVariety","use","sex","skinColor","pulpColor","flavour","seeds","breeder","breederMother","crossbreedingOrder","fatherBreeder","refBreederParent","realMother","varCodeMother","realFather","varCodeFather","refRealParent","crossingCode","yearBreeding","varGeneticComposition","countryOrigin","regionOrigin","departmentOrigin","siregallOrigin","frenchRegistration","europeanRegistration","evdb_19-BREDCODE","evdb_20-SAMPSTAT","evdb_E-VARNUMB_vivc_KENN_NR"
"3144","Plavac Mali",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HRV",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"9549"
"3167","Kakotryghis",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR22","GR222",NULL,NULL,"oui",NULL,NULL,"5920"
"3168","Glykerithra",NULL,"typ1","esp1","Plante","cv.","C",NULL,"B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR25",NULL,NULL,NULL,"oui",NULL,NULL,"4999"
"3172","Szeredi piros",NULL,"typ1","esp1","Plante","cv.","C","H","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3180","Bianera",NULL,"typ1","esp1","Plante","cv.","C",NULL,"B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Terlaner","1962","Valderbara","3324",NULL,NULL,NULL,NULL,"ITA","ITD2",NULL,NULL,NULL,NULL,NULL,NULL,"40338"
"3205","Verdelho tinto",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT","PT11","PT111",NULL,NULL,"oui",NULL,NULL,"12957"
"3209","Victoria",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep","Lepadu et Condei",NULL,NULL,NULL,NULL,"Cardinal = G 10-30","1095","Dattier de Beyrouth = Afuz Ali","634",NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,"oui","oui",NULL,NULL,"13031"
"3225","Ximénes zumbòn",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TUN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13281"
"3272","Istchak rouge",NULL,"typ1","esp1","Plante","cv.","T",NULL,"NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"UZB",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"14288"
"3273","Tscharma",NULL,"typ1","esp1","Plante","cv.","T","H","Rg","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"UZB",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13360"
"3279","Kali Sahebi",NULL,"typ1","esp1","Plante","cv.","T","H","Rg","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"IRN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"41989"
"3293","Yediveren",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TUR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13320"
"3315","Trippa di bo rosso",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITC1",NULL,NULL,NULL,NULL,NULL,NULL,"15167"
"3324","Valderbara",NULL,"typ1","esp1","Plante","cv.",NULL,"H",NULL,NULL,"sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITD2",NULL,NULL,NULL,NULL,NULL,NULL,"40920"
"3326","Trebbiano Perugino",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITE2",NULL,NULL,NULL,NULL,NULL,NULL,"12624"
"3331","Uva pane blanc",NULL,"typ1","esp1","Plante","cv.","T",NULL,"B","inc",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24315"
"3333","Trebbiano Emiliano",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITD5",NULL,NULL,NULL,NULL,NULL,NULL,"15166"
"3338","Uva di Trojanero",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15172"
"3339","Verdea noir",NULL,"typ1","esp1","Plante","cv.","CT","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24384"
"3340","Verdicchio rose (Collection Ravaz)",NULL,"typ1","esp1","Plante","cv.","CT","H","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"22950"
"3344","Sary Kirak",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AZE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10775"
"3346","Starinky",NULL,"typ1","esp1","Plante","cv.","C",NULL,"B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Pletchistik","2652","Ekim kara faux (Collection Conegliano)","3255",NULL,NULL,NULL,NULL,"RUS","RUX1",NULL,NULL,NULL,NULL,NULL,NULL,"41985"
"3347","Sypoun tcheurny",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"RUS","RUX1",NULL,NULL,NULL,NULL,NULL,NULL,"12123"
"3348","Varyoshkin",NULL,"typ1","esp1","Plante","cv.","CT","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"RUS","RUX1",NULL,NULL,NULL,NULL,NULL,NULL,"12913"
"3350","Tavkveri cartalinsky",NULL,"typ1","esp1","Plante","cv.","C","F","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Diamanttraube","761","Olivette rose","43",NULL,NULL,NULL,NULL,"GEO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24002"
"3357","Sabza angur",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TJK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10440"
"3359","Tinta grossa d'Alentejo",NULL,"typ1","esp1","Plante","cv.","C",NULL,"N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Gibi = Hebén","45","Alfrocheiro preto","50",NULL,NULL,NULL,NULL,"PRT","PT18",NULL,NULL,NULL,"oui",NULL,NULL,"40711"
"3360","Vinisello",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT","PT18",NULL,NULL,NULL,NULL,NULL,NULL,"13101"
"3361","Tintinha (Collection Esporao)",NULL,"typ1","esp1","Plante","cv.","C","H","N","col","sim","pep",NULL,NULL,NULL,NULL,NULL,"Castelão = Periquita","1521","Alicante Henri Bouschet","514",NULL,NULL,NULL,NULL,"PRT","PT18",NULL,NULL,NULL,NULL,NULL,NULL,"24389"
"3367","Samarrinho",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT",NULL,"PT117",NULL,NULL,"oui",NULL,NULL,"15684"
"3372","Sousão",NULL,"typ1","esp1","Plante","cv.","C",NULL,"N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"41984"
"3373","Tinta tinto (Collection Soarès Franco)",NULL,"typ1","esp1","Plante","cv.","C","H","N","col","sim","pep",NULL,NULL,NULL,NULL,NULL,"Grenache = Garnacha","34","Petit Bouschet","479",NULL,NULL,NULL,NULL,"PRT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15158"
"3377","Tricana","H 6-52-226","typ1","esp1","Plante","cv.","T","H","B","inc","sim","apyr","Ferreira da Almeida",NULL,NULL,NULL,NULL,"Diagalves","1536","Sultanine","1566",NULL,NULL,NULL,NULL,"PRT",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"12645"
"3387","Serifiotico noir",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR42","GR422",NULL,NULL,"oui",NULL,NULL,"11513"
"3388","Votziki",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR21",NULL,NULL,NULL,NULL,NULL,NULL,"13175"
"3391","Stavroto faux (Collection Lykovrissi)",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR12",NULL,NULL,NULL,NULL,NULL,NULL,"41986"
"3392","Volitsa mavri",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR25",NULL,NULL,NULL,"oui",NULL,NULL,"13157"
"3393","Vradyano",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR14",NULL,NULL,NULL,"oui",NULL,NULL,"13178"
"3399","Roussaïtis noir",NULL,"typ1","esp1","Plante","cv.",NULL,NULL,"N",NULL,NULL,"pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3400","Violento",NULL,"typ1","esp1","Plante","cv.","C","H","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR22","GR221",NULL,NULL,"oui",NULL,NULL,"5007"
"3416","Svegest",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Misket Trakijshi","3140","Dattier de Beyrouth = Afuz Ali","634",NULL,NULL,NULL,NULL,"BGR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16236"
"3423","Sarba",NULL,"typ1","esp1","Plante","cv.","C","F","B","inc","mus","pep",NULL,NULL,NULL,NULL,NULL,"Riesling italico","1243","Muscat de Hambourg","584",NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"10738"
"3424","Select (obtention Roumanie)",NULL,"typ1","esp1","Plante","cv.","T",NULL,"B","inc",NULL,"pep","Dvonic-Balcescu",NULL,NULL,NULL,NULL,"Bicane","696","Dattier de Beyrouth = Afuz Ali","634",NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11471"
"3425","Silvania",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Bicane","696","Limberger = Blaufränkisch","251",NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11808"
"3426","Tamaioasa bucuresti",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"41988"
"3452","Sarfeher faux (Collection Oberlin)",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"41981"
"3453","Sarpiros",NULL,"typ1","esp1","Plante","cv.","C","H","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10766"
"3454","Tökös piros",NULL,"typ1","esp1","Plante","cv.","C","H","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Beregi rozsas","1629","Furmint","25",NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12547"
"3455","Totika",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Bajor kék = Augster blau","1580","Kadarka","1610",NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12586"
"3456","Urmi dinka",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Izsaki sarfeher","1613","Kadarka","1610",NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15170"
"3474","Schiras sämling",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep","Breider",NULL,NULL,NULL,NULL,"Riesling","274","Muscat Saint-Laurent","680",NULL,NULL,NULL,NULL,"DEU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24309"
"3475","Silcher","Weinsberg S377","typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep","Herold",NULL,NULL,NULL,NULL,"Sylvaner","270","Kerner = We S 25-30","2743",NULL,NULL,NULL,NULL,"DEU",NULL,NULL,NULL,NULL,"oui",NULL,NULL,"11796"
"3476","Triumph traube",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Madeleine angevine","652","Précoce de Malingre","656",NULL,NULL,NULL,NULL,"DEU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"41990"
"3480","Urbanitraube noir (Collection Oberlin)",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12786"
"3495","Autofécondation Sauvignon n°106",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Sauvignon","300","Sauvignon","300",NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24169"
"3496","Autofécondation Sauvignon n°91",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3516","Magdeleine noire des Charentes",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR53","FR532",NULL,NULL,NULL,NULL,NULL,"22717"
"3531","Pinot noir mutant foliaire",NULL,"typ1","esp1","Plante","cv.","C",NULL,"N",NULL,NULL,"pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3552","Saint-Côme",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Moural","3522","Gouais blanc = Heunisch weiss","211",NULL,NULL,NULL,NULL,"FRA","FR62","FR622",NULL,"oui","oui",NULL,NULL,"10468"
"3553","Grande Sainte-Marie","Sainte-Marie de Biviers","typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Gouais blanc = Heunisch weiss","211","Chasselas","585",NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24307"
"3554","Petite Sainte-Marie","Sainte-Marie de Chignin","typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71","FR717",NULL,"oui",NULL,NULL,NULL,"24308"
"3555","Saint-Fiacre",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Sultanine","1566","Gros Colman","774",NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3556","Salicette (Collection Oberlin)",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3557","Sauvignon mutant foliaire",NULL,"typ1","esp1","Plante","cv.","C",NULL,"B","inc",NULL,"pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3559","Sytanich",NULL,"typ1","esp1","Plante","cv.","C",NULL,"N",NULL,NULL,"pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR51",NULL,NULL,NULL,NULL,NULL,NULL,"12130"
"3560","Téoulier blanc femelle",NULL,"typ1","esp1","Plante","cv.","C","F","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Clairette","26","Pascal","91",NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12361"
"3561","Trollinger faux (Collection Colmar)",NULL,"typ1","esp1","Plante","cv.","CT",NULL,"N",NULL,NULL,"pep",NULL,NULL,NULL,NULL,NULL,"Laska","287","Portugais bleu","450",NULL,NULL,NULL,NULL,"FRA","FR42",NULL,NULL,NULL,NULL,NULL,NULL,"20569"
"3563","Viallou",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71","FR714",NULL,NULL,NULL,NULL,NULL,"15183"
"3575","San Lorenzo",NULL,"typ1","esp1","Plante","cv.","C","H","N",NULL,"sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITE1",NULL,NULL,NULL,NULL,NULL,NULL,"22517"
"3582","Santanera",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ESP",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42043"
"3590","Sabro",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT","PT15",NULL,NULL,NULL,NULL,NULL,NULL,"24306"
"3591","Sao Mamede",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT","PT11","PT111",NULL,NULL,"oui",NULL,NULL,"40704"
"3592","Tagleit n'timili femelle",NULL,"typ1","esp1","Plante","cv.","T","F","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MAR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3599","Skhilatubani",NULL,"typ1","esp1","Plante","cv.","C",NULL,"N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GEO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11848"
"3604","Ruby Star",NULL,"typ1","esp1","Plante","cv.","T","H","Rg","inc","sim","pep","Evans et Ellis",NULL,NULL,NULL,NULL,"Reine des Vignes","1078","Muscat de Hambourg","584",NULL,NULL,NULL,NULL,"ZAF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10316"
"3614","Uva anis",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","aro","pep",NULL,NULL,NULL,NULL,NULL,"Mission = Pais","1827","Muscat d'Alexandrie","308",NULL,NULL,NULL,NULL,"ARG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"40830"
"3629","Sauvignon piccolo faux",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","aro","pep",NULL,NULL,NULL,NULL,NULL,"Petit Meslier","399","Muscat fleur d'oranger","570",NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"41982"
"3636","Sasca (Collection Ravaz)",NULL,"typ1","esp1","Plante","cv.","C","H","BR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"42045"
"3638","Uva Sogra",NULL,"typ1","esp1","Plante","cv.","T","H","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HRV",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15174"
"3647","Porsi Shekerek",NULL,"typ1","esp1","Plante","cv.","T","F","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TKM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"9610"
"3671","Anab-e-Shabi",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc",NULL,"pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"IND",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5605"
"3738","Tsulukidzis Tetra",NULL,"typ1","esp1","Plante","cv.","C",NULL,"B","inc",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Blank Blauer = Vulpea","1631","Gouais blanc = Heunisch weiss","211",NULL,NULL,NULL,NULL,"GEO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"22263"
"3745","Galego dourado mutant polyploïde",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PRT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3906","Babeasca roz",NULL,"typ1","esp1","Plante","cv.","CT",NULL,"Rg","inc",NULL,NULL,NULL,"Babeasca neagra","(mutation)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5047","Rosette","Seibel 1000","typ2","esp3","Plante","cv.","C","H","N",NULL,NULL,NULL,"Seibel","vinifera2-rupestris1-aestivalis1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71","FR712",NULL,NULL,NULL,NULL,"416","10209"
"5189","Plantet","Seibel 5455","typ2","esp3","Plante","cv.","C","H","N",NULL,NULL,NULL,"Seibel","vinifera8-rupestris4-aestivalis3-cinerea1-berlandieri16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR71","FR712",NULL,"oui","oui",NULL,"416","9544"
"6645","Takao (4N-1)",NULL,"typ2","esp3","Plante","cv.","T",NULL,"N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JPN",NULL,NULL,NULL,NULL,NULL,NULL,"416",NULL
"6652","Göcseji Zamatos",NULL,"typ2","esp3","Plante","cv.","CT",NULL,"B","inc",NULL,NULL,"Eger",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HUN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"6658","Storgoziya",NULL,"typ2","esp3","Plante","cv.","C",NULL,"N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"BGR",NULL,NULL,NULL,NULL,"oui",NULL,NULL,NULL
